date,2Y,5Y,10Y,20Y,30Y
1974-09-24,9.362,8.348,,,
1974-09-25,9.364,8.348,,,
1974-09-26,9.366,8.348,,,
1974-09-27,9.367,8.349,,,
1974-09-28,9.369,8.349,,,
1974-09-30,9.373,8.35,,,
1974-10-01,9.374,8.354,,,
1974-10-02,9.376,8.354,,,
1974-10-03,9.378,8.354,,,
1974-10-04,9.379,8.355,,,
1974-10-05,9.381,8.355,,,
1974-10-07,9.385,8.356,,,
1974-10-08,9.386,8.357,,,
1974-10-09,9.388,8.357,,,
1974-10-11,9.391,8.358,,,
1974-10-12,9.393,8.359,,,
1974-10-14,9.396,8.359,,,
1974-10-15,9.398,8.36,,,
1974-10-16,9.4,8.36,,,
1974-10-17,9.401,8.361,,,
1974-10-18,9.403,8.361,,,
1974-10-21,9.408,8.362,,,
1974-10-22,9.41,8.363,,,
1974-10-23,9.411,8.363,,,
1974-10-24,9.413,8.364,,,
1974-10-25,9.415,8.364,,,
1974-10-26,9.416,8.365,,,
1974-10-28,9.419,8.366,,,
1974-10-29,9.421,8.366,,,
1974-10-30,9.423,8.366,,,
1974-10-31,9.424,8.367,,,
1974-11-01,9.426,8.367,,,
1974-11-02,9.428,8.368,,,
1974-11-05,9.432,8.369,,,
1974-11-06,9.434,8.369,,,
1974-11-07,9.435,8.37,,,
1974-11-08,9.437,8.37,,,
1974-11-09,9.439,8.371,,,
1974-11-11,9.442,8.372,,,
1974-11-12,9.443,8.372,,,
1974-11-13,9.445,8.372,,,
1974-11-14,9.446,8.373,,,
1974-11-15,9.448,8.373,,,
1974-11-18,9.452,8.375,,,
1974-11-19,9.459,8.376,,,
1974-11-20,9.473,8.38,,,
1974-11-21,9.506,8.387,,,
1974-11-22,9.512,8.394,,,
1974-11-25,9.517,8.395,,,
1974-11-26,9.518,8.395,,,
1974-11-27,9.52,8.395,,,
1974-11-28,9.521,8.395,,,
1974-11-29,9.523,8.396,,,
1974-11-30,9.524,8.396,,,
1974-12-02,9.527,8.397,,,
1974-12-03,9.528,8.397,,,
1974-12-04,9.53,8.397,,,
1974-12-05,9.531,8.397,,,
1974-12-06,9.533,8.398,,,
1974-12-07,9.534,8.398,,,
1974-12-09,9.537,8.398,,,
1974-12-10,9.538,8.399,,,
1974-12-11,9.54,8.399,,,
1974-12-12,9.541,8.399,,,
1974-12-13,9.543,8.4,,,
1974-12-14,9.544,8.4,,,
1974-12-16,9.547,8.4,,,
1974-12-17,9.548,8.401,,,
1974-12-18,9.55,8.401,,,
1974-12-19,9.551,8.401,,,
1974-12-20,9.552,8.401,,,
1974-12-23,9.556,8.402,,,
1974-12-24,9.558,8.403,,,
1974-12-25,9.559,8.403,,,
1974-12-26,9.56,8.403,,,
1974-12-27,9.562,8.403,,,
1974-12-28,9.563,8.404,,,
1975-01-04,9.572,8.402,,,
1975-01-06,9.575,8.403,,,
1975-01-07,9.576,8.403,,,
1975-01-08,9.578,8.403,,,
1975-01-09,9.579,8.404,,,
1975-01-10,9.58,8.404,,,
1975-01-11,9.581,8.404,,,
1975-01-13,9.584,8.405,,,
1975-01-14,9.585,8.405,,,
1975-01-16,9.588,8.405,,,
1975-01-17,9.589,8.406,,,
1975-01-20,9.593,8.406,,,
1975-01-21,9.594,8.407,,,
1975-01-22,9.595,8.407,,,
1975-01-23,9.596,8.407,,,
1975-01-24,9.598,8.407,,,
1975-01-25,9.599,8.408,,,
1975-01-27,9.601,8.408,,,
1975-01-28,9.602,8.408,,,
1975-01-29,9.604,8.409,,,
1975-01-30,9.605,8.409,,,
1975-01-31,9.606,8.409,,,
1975-02-01,9.607,8.409,,,
1975-02-03,9.61,8.41,,,
1975-02-04,9.611,8.41,,,
1975-02-05,9.612,8.41,,,
1975-02-06,9.613,8.411,,,
1975-02-07,9.614,8.411,,,
1975-02-08,9.615,8.411,,,
1975-02-10,9.618,8.412,,,
1975-02-12,9.62,8.412,,,
1975-02-13,9.619,8.417,,,
1975-02-14,9.62,8.418,,,
1975-02-17,9.623,8.426,,,
1975-02-18,9.625,8.427,,,
1975-02-19,9.632,8.425,,,
1975-02-20,9.646,8.421,,,
1975-02-21,9.647,8.411,,,
1975-02-22,9.588,8.421,,,
1975-02-24,9.593,8.422,,,
1975-02-25,9.595,8.423,,,
1975-02-26,9.597,8.423,,,
1975-02-27,9.6,8.423,,,
1975-02-28,9.564,8.43,,,
1975-03-01,9.567,8.43,,,
1975-03-03,9.573,8.431,,,
1975-03-04,9.576,8.431,,,
