feature,region,tenor_years,last_actual_yield,forecast_6m_yield,forecast_6m_change_bps
US_2Y,US,2,3.78,3.7657404186433707,-1.425958135662908
US_5Y,US,5,3.92,3.9139201536341686,-0.6079846365831365
US_10Y,US,10,4.31,4.31354335526454,0.35433552645400823
US_20Y,US,20,4.88,4.89225028873485,1.2250288734850123
US_30Y,US,30,4.91,4.9281072117270925,1.8107211727092398
EA_2Y,EA,2,2.6295972415,2.6320796158596016,0.24823743596016357
EA_5Y,EA,5,2.9167890562,2.9218720160233196,0.5082959823319744
EA_10Y,EA,10,3.4825008689,3.4940920956744304,1.1591226774430474
EA_20Y,EA,20,4.0211459156,4.038637196052843,1.7491280452842872
EA_30Y,EA,30,4.0248181394,4.040134415591896,1.531627619189635
JP_2Y,JP,2,1.363,1.3929526536043149,2.995265360431487
JP_5Y,JP,5,1.842,1.8696687645716512,2.7668764571651128
JP_10Y,JP,10,2.443,2.471131601806824,2.813160180682406
JP_20Y,JP,20,3.318,3.3549347270077865,3.693472700778644
JP_30Y,JP,30,3.66,3.697296422680317,3.7296422680316965
