target_component,lag_component,coefficient
PC1,intercept,0.0018146742507875392
PC1,PC1,0.028429716356979648
PC1,PC2,-0.10447306075753765
PC1,PC3,0.01913586537895449
PC1,PC4,-0.10650928137345177
PC1,PC5,-0.18536608134309093
PC2,intercept,0.0020407755361566914
PC2,PC1,0.03413366120891075
PC2,PC2,-0.07294342630897398
PC2,PC3,0.034619802915651296
PC2,PC4,0.018773735783824116
PC2,PC5,0.01571907726949191
PC3,intercept,0.00032379897725114603
PC3,PC1,-0.06463382180615511
PC3,PC2,0.0176905223304034
PC3,PC3,-0.05489780683737177
PC3,PC4,0.02119601934847705
PC3,PC5,-0.0020724529639129727
PC4,intercept,0.002790333680972804
PC4,PC1,-0.003991048937683945
PC4,PC2,-0.04819767328475237
PC4,PC3,0.02433111924539565
PC4,PC4,-0.055811016409254045
PC4,PC5,0.10198560867034417
PC5,intercept,-0.0024577580660152098
PC5,PC1,0.0017883949200315477
PC5,PC2,0.013096545102303077
PC5,PC3,-0.011925774149370242
PC5,PC4,0.011463122115920064
PC5,PC5,-0.08289835905386413
