feature,one_week_change_rmse_bps,region,tenor_years
US_2Y,10.376702992736366,US,2
US_5Y,12.178352688611145,US,5
US_10Y,11.930918308458942,US,10
US_20Y,11.52680036585395,US,20
US_30Y,11.366361907024203,US,30
EA_2Y,10.032681561205518,EA,2
EA_5Y,9.829923951703343,EA,5
EA_10Y,9.520271295131682,EA,10
EA_20Y,9.722700316677486,EA,20
EA_30Y,11.064797902736485,EA,30
JP_2Y,2.9004323302890813,JP,2
JP_5Y,4.115569103250839,JP,5
JP_10Y,4.1845114236248,JP,10
JP_20Y,4.777426269625334,JP,20
JP_30Y,4.978001092297682,JP,30
