scope,component,explained_variance_ratio,cumulative_explained_variance
US,PC1,0.8547467746056935,0.8547467746056935
US,PC2,0.12466644186157871,0.9794132164672722
US,PC3,0.01546488507188191,0.9948781015391541
US,PC4,0.0030283010157476646,0.9979064025549018
US,PC5,0.0020935974450983145,1.0000000000000002
EA,PC1,0.7703732569623889,0.7703732569623889
EA,PC2,0.15957477076417909,0.9299480277265679
EA,PC3,0.05282569407183539,0.9827737217984033
EA,PC4,0.015645224603383228,0.9984189464017865
EA,PC5,0.0015810535982133372,0.9999999999999999
JP,PC1,0.7201414200966637,0.7201414200966637
JP,PC2,0.20920159754170406,0.9293430176383678
JP,PC3,0.04723891176655872,0.9765819294049265
JP,PC4,0.014237481517399593,0.9908194109223261
JP,PC5,0.009180589077673877,0.9999999999999999
Global,PC1,0.5056758705163533,0.5056758705163533
Global,PC2,0.16147439842592995,0.6671502689422832
Global,PC3,0.11679952305288335,0.7839497919951666
Global,PC4,0.08025632972825414,0.8642061217234207
Global,PC5,0.0546873999901303,0.918893521713551
