scope,feature,component,loading,region,tenor_years,abs_loading
US,US_2Y,PC1,0.38797487161844907,US,2,0.38797487161844907
US,US_5Y,PC1,0.45991046013268244,US,5,0.45991046013268244
US,US_10Y,PC1,0.47652740108073627,US,10,0.47652740108073627
US,US_20Y,PC1,0.46016490015265854,US,20,0.46016490015265854
US,US_30Y,PC1,0.44623734529947723,US,30,0.44623734529947723
US,US_2Y,PC2,-0.7323996442180546,US,2,0.7323996442180546
US,US_5Y,PC2,-0.3204804210437694,US,5,0.3204804210437694
US,US_10Y,PC2,0.1184366450072014,US,10,0.1184366450072014
US,US_20Y,PC2,0.3738837505589306,US,20,0.3738837505589306
US,US_30Y,PC2,0.4550458911629686,US,30,0.4550458911629686
US,US_2Y,PC3,0.531980049830614,US,2,0.531980049830614
US,US_5Y,PC3,-0.5898622018536264,US,5,0.5898622018536264
US,US_10Y,PC3,-0.39849623327394496,US,10,0.39849623327394496
US,US_20Y,PC3,0.12618232790338485,US,20,0.12618232790338485
US,US_30Y,PC3,0.4408384983165258,US,30,0.4408384983165258
US,US_2Y,PC4,0.17274046540936824,US,2,0.17274046540936824
US,US_5Y,PC4,-0.5793001485961382,US,5,0.5793001485961382
US,US_10Y,PC4,0.6896841524478607,US,10,0.6896841524478607
US,US_20Y,PC4,0.09464465244711277,US,20,0.09464465244711277
US,US_30Y,PC4,-0.3872340752982472,US,30,0.3872340752982472
US,US_2Y,PC5,-0.01497392180716482,US,2,0.01497392180716482
US,US_5Y,PC5,-0.04741928984112563,US,5,0.04741928984112563
US,US_10Y,PC5,0.352747670534379,US,10,0.352747670534379
US,US_20Y,PC5,-0.789670574115263,US,20,0.789670574115263
US,US_30Y,PC5,0.4995164240800462,US,30,0.4995164240800462
EA,EA_2Y,PC1,0.395362333296219,EA,2,0.395362333296219
EA,EA_5Y,PC1,0.4648389972444549,EA,5,0.4648389972444549
EA,EA_10Y,PC1,0.4844366151870923,EA,10,0.4844366151870923
EA,EA_20Y,PC1,0.4676159913238987,EA,20,0.4676159913238987
EA,EA_30Y,PC1,0.4174563241532936,EA,30,0.4174563241532936
EA,EA_2Y,PC2,-0.6147301648756867,EA,2,0.6147301648756867
